T,breaches,hit_rate,Kupiec_p,Christoff_p,Joint_p,ES_realised,portfolio,alpha,model
2764,95,0.034370477568740954,0.0,1.0,0.0,0.04589660149209913,P_A,0.01,q_COPt6_1
2764,79,0.028581765557163533,1.1102230246251565e-15,1.0,1.1546319456101628e-14,0.04813177222891274,P_A,0.01,q_MVN_1
2764,64,0.023154848046309694,2.919935071510338e-09,1.0,2.230914764034253e-08,0.05119900000659371,P_A,0.01,q_MVT6_1
2764,273,0.0987698986975398,0.0,1.0,0.0,0.03149540247986275,P_A,0.05,q_COPt6_5
2764,164,0.059334298118668596,0.02852099892896154,1.0,0.09088613856653316,0.03873516757734837,P_A,0.05,q_MVN_5
2764,176,0.06367583212735166,0.0015201110954348174,1.0,0.006558202039302685,0.03773447719997874,P_A,0.05,q_MVT6_5
2454,60,0.02444987775061125,1.253114945143352e-09,1.0,9.7845666013896e-09,0.10675198311024496,P_B,0.01,q_COPt6_1
2454,44,0.017929910350448247,0.0003820111734932352,1.0,0.0018196798433223194,0.1184285933296463,P_B,0.01,q_MVN_1
2454,36,0.014669926650366748,0.02971704092187044,1.0,0.09415683532435015,0.1274975217419578,P_B,0.01,q_MVT6_1
2454,204,0.08312958435207823,5.000444502911705e-12,1.0,4.4150905154083375e-11,0.07003106885172543,P_B,0.05,q_COPt6_5
2454,101,0.041157294213528935,0.038387897833421336,1.0,0.11719971591871414,0.08985364864583156,P_B,0.05,q_MVN_5
2454,114,0.04645476772616137,0.4150050241690193,1.0,0.7173378758488028,0.08598250538957822,P_B,0.05,q_MVT6_5
2764,63,0.022793053545586108,6.957604381518934e-09,1.0,5.193297791805662e-08,0.056179915377724564,P_C,0.01,q_COPt6_1
2764,40,0.01447178002894356,0.026776727206787254,1.0,0.08607166986171033,0.06492910009983209,P_C,0.01,q_MVN_1
2764,35,0.012662807525325614,0.1766364948233643,1.0,0.4013790176524399,0.06748932811671121,P_C,0.01,q_MVT6_1
2764,209,0.0756150506512301,8.210075508330306e-09,1.0,6.100237315287416e-08,0.03673362944319353,P_C,0.05,q_COPt6_5
2764,110,0.03979739507959479,0.010829775064153169,1.0,0.03890941679536797,0.0462263719517936,P_C,0.05,q_MVN_5
2764,123,0.044500723589001444,0.1767785115739937,1.0,0.4016194776010287,0.04459000101713502,P_C,0.05,q_MVT6_5
